web-scraper-order,web-scraper-start-url,words
"1574912029-140383","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Nichrome/Nickel Wire"
"1574912029-140355","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Filling"
"1574912029-140300","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","APV (Advanced Personal Vaporiser)"
"1574912029-140416","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Titanium coils"
"1574912029-140348","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","E-liquid"
"1574912029-140366","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","IBVTA"
"1574912029-140431","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vooping"
"1574912029-140390","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Personal Electronic Nicotine Inhaler System (PENIS)"
"1574912029-140356","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Flavour Chaser"
"1574912029-140338","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Drip tips"
"1574912029-140409","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Stealth vaping"
"1574912029-140323","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Clone"
"1574912029-140437","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","X"
"1574912029-140301","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Amps"
"1574912029-140412","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","T"
"1574912029-140430","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Venting"
"1574912029-140441","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Z"
"1574912029-140391","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Passthrough"
"1574912029-140396","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Q"
"1574912029-140320","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Cigalike"
"1574912029-140439","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Y"
"1574912029-140398","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","RBA"
"1574912029-140410","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Steel Mesh"
"1574912029-140334","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Drip Shield"
"1574912029-140394","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Propylene Glycol"
"1574912029-140321","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Coil"
"1574912029-140347","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Electronic Cigarette"
"1574912029-140310","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Bottom Vertical Coil Clearomiser (BVC):"
"1574912029-140339","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","E:"
"1574912029-140395","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Personal Vaporiser (or PV)"
"1574912029-140380","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","N"
"1574912029-140326","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","D:"
"1574912029-140403","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Second Generation ECigarettes"
"1574912029-140344","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","ECITA"
"1574912029-140330","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","DNA Mod"
"1574912029-140421","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Vape"
"1574912029-140351","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","E-Smoking"
"1574912029-140434","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Watt"
"1574912029-140368","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Joules"
"1574912029-140312","https://www.ecigarettedirect.co.uk/ashtray-blog/2016/06/vaping-glossary.html","Boxies"
